severity,category,path,issue,evidence,recommendation
P0,API reference,/api-reference/openapi.json,"Public OpenAPI spec is Mintlify Plant Store sample, not Oviond.","Found title='OpenAPI Plant Store', server='http://sandbox.mintlify.com', /plants paths.",Replace with the real Oviond OpenAPI JSON or remove/hide the endpoint before launch.
P1,Thin content,/api/templates/update-template,Very thin page content.,24 words; title='Update Template',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/themes/create-theme,Very thin page content.,25 words; title='Create Theme',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/themes/delete-theme,Very thin page content.,24 words; title='Delete Theme',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/themes/get-theme,Very thin page content.,27 words; title='Get Theme',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/themes/list-themes,Very thin page content.,28 words; title='List Themes',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/themes/update-theme,Very thin page content.,24 words; title='Update Theme',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/users/change-email,Very thin page content.,28 words; title='Change Email',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/users/delete-user,Very thin page content.,28 words; title='Delete User',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/users/get-user,Very thin page content.,28 words; title='Get User',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/users/invite-user,Very thin page content.,28 words; title='Invite User',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/users/list-users,Very thin page content.,30 words; title='List Users',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/users/update-avatar,Very thin page content.,28 words; title='Update Avatar',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/users/update-profile,Very thin page content.,31 words; title='Update Profile',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/users/update-user,Very thin page content.,29 words; title='Update User',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/white-label/add-domain,Very thin page content.,35 words; title='Add Domain',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/white-label/check-domain-status,Very thin page content.,29 words; title='Check Domain Status',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/white-label/delete-domain,Very thin page content.,25 words; title='Delete Domain',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/white-label/list-domains,Very thin page content.,29 words; title='List Domains',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/widgets/bulk-delete-widgets,Very thin page content.,28 words; title='Bulk Delete Widgets',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/widgets/create-widgets,Very thin page content.,27 words; title='Create Widgets',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/widgets/delete-widget,Very thin page content.,27 words; title='Delete Widget',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/widgets/get-widget,Very thin page content.,27 words; title='Get Widget',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/widgets/list-widget-ids,Very thin page content.,28 words; title='List Widget IDs',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/widgets/list-widgets,Very thin page content.,26 words; title='List Widgets',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P1,Thin content,/api/widgets/update-widget,Very thin page content.,27 words; title='Update Widget',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P2,Title clarity,"/authentication, /mcp/auth",Duplicate H1 title 'Authentication' across 2 pages.,"/authentication, /mcp/auth","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/account/delete, /api/account/delete-account",Duplicate H1 title 'Delete Account' across 2 pages.,"/account/delete, /api/account/delete-account","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/agency/add, /projects/add",Duplicate H1 title 'Add Project' across 2 pages.,"/agency/add, /projects/add","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/agency/archive, /projects/archive",Duplicate H1 title 'Archive Project' across 2 pages.,"/agency/archive, /projects/archive","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/agency/bulk-delete, /clients/bulk-delete, /media/bulk-delete, /projects/bulk-delete",Duplicate H1 title 'Bulk Delete' across 4 pages.,"/agency/bulk-delete, /clients/bulk-delete, /media/bulk-delete, /projects/bulk-delete","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/agency/duplicate, /projects/duplicate, /api/projects/duplicate-project",Duplicate H1 title 'Duplicate Project' across 3 pages.,"/agency/duplicate, /projects/duplicate, /api/projects/duplicate-project","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/agency/list, /projects/list, /api/projects/list-projects",Duplicate H1 title 'List Projects' across 3 pages.,"/agency/list, /projects/list, /api/projects/list-projects","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/agency/pages, /projects/pages",Duplicate H1 title 'Pages' across 2 pages.,"/agency/pages, /projects/pages","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/agency/share, /projects/share",Duplicate H1 title 'Share Project' across 2 pages.,"/agency/share, /projects/share","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/agency/update, /projects/update, /api/projects/update-project",Duplicate H1 title 'Update Project' across 3 pages.,"/agency/update, /projects/update, /api/projects/update-project","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/agency/widgets, /projects/widgets",Duplicate H1 title 'Widgets' across 2 pages.,"/agency/widgets, /projects/widgets","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/api/introduction, /guides/overview, /mcp/overview",Duplicate H1 title 'Overview' across 3 pages.,"/api/introduction, /guides/overview, /mcp/overview","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/automations/delete, /api/automations/delete-automation",Duplicate H1 title 'Delete Automation' across 2 pages.,"/automations/delete, /api/automations/delete-automation","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/automations/list, /api/automations/list-automations",Duplicate H1 title 'List Automations' across 2 pages.,"/automations/list, /api/automations/list-automations","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/automations/test, /api/automations/test-automation",Duplicate H1 title 'Test Automation' across 2 pages.,"/automations/test, /api/automations/test-automation","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/clients/list, /api/clients/list-clients",Duplicate H1 title 'List Clients' across 2 pages.,"/clients/list, /api/clients/list-clients","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/custom-data/delete, /api/custom-data/delete-custom-data",Duplicate H1 title 'Delete Custom Data' across 2 pages.,"/custom-data/delete, /api/custom-data/delete-custom-data","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/custom-data/duplicate, /api/custom-data/duplicate-custom-data",Duplicate H1 title 'Duplicate Custom Data' across 2 pages.,"/custom-data/duplicate, /api/custom-data/duplicate-custom-data","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/custom-data/list, /api/custom-data/list-custom-data",Duplicate H1 title 'List Custom Data' across 2 pages.,"/custom-data/list, /api/custom-data/list-custom-data","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/custom-data/update, /api/custom-data/update-custom-data",Duplicate H1 title 'Update Custom Data' across 2 pages.,"/custom-data/update, /api/custom-data/update-custom-data","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/custom-domains/add, /api/white-label/add-domain",Duplicate H1 title 'Add Domain' across 2 pages.,"/custom-domains/add, /api/white-label/add-domain","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/custom-domains/delete, /api/white-label/delete-domain",Duplicate H1 title 'Delete Domain' across 2 pages.,"/custom-domains/delete, /api/white-label/delete-domain","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/custom-domains/list, /api/white-label/list-domains",Duplicate H1 title 'List Domains' across 2 pages.,"/custom-domains/list, /api/white-label/list-domains","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/data-sources/connect, /mcp/connect",Duplicate H1 title 'Connect' across 2 pages.,"/data-sources/connect, /mcp/connect","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/data-sources/test, /api/data/test-connection",Duplicate H1 title 'Test Connection' across 2 pages.,"/data-sources/test, /api/data/test-connection","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/media/delete, /api/media/delete-media",Duplicate H1 title 'Delete Media' across 2 pages.,"/media/delete, /api/media/delete-media","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/media/list, /api/media/list-media",Duplicate H1 title 'List Media' across 2 pages.,"/media/list, /api/media/list-media","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/templates/delete, /api/templates/delete-template",Duplicate H1 title 'Delete Template' across 2 pages.,"/templates/delete, /api/templates/delete-template","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/templates/list, /api/templates/list-templates",Duplicate H1 title 'List Templates' across 2 pages.,"/templates/list, /api/templates/list-templates","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/themes/delete, /api/themes/delete-theme",Duplicate H1 title 'Delete Theme' across 2 pages.,"/themes/delete, /api/themes/delete-theme","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/themes/list, /api/themes/list-themes",Duplicate H1 title 'List Themes' across 2 pages.,"/themes/list, /api/themes/list-themes","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/themes/update, /api/themes/update-theme",Duplicate H1 title 'Update Theme' across 2 pages.,"/themes/update, /api/themes/update-theme","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/users/invite, /api/users/invite-user",Duplicate H1 title 'Invite User' across 2 pages.,"/users/invite, /api/users/invite-user","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/users/list, /api/users/list-users",Duplicate H1 title 'List Users' across 2 pages.,"/users/list, /api/users/list-users","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P2,Title clarity,"/users/update, /api/users/update-user",Duplicate H1 title 'Update User' across 2 pages.,"/users/update, /api/users/update-user","Disambiguate API vs UI pages, e.g. 'Delete Account API' vs 'Delete your account'."
P1,Copy consistency,/introduction,Old billing plan framing,"Oviond is a white-label digital marketing reporting platform built for agencies. Connect your clients' marketing accounts — Google Ads, Facebook, and 30+ other platforms — and build professional dashboards and reports th",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P2,Copy consistency,/account/overview,TODO/TBD placeholder,Click your current avatar image (or the initials placeholder) and select an image file from your computer. Oviond accepts JPG and PNG files. Your avatar is visible to other team members inside the platform.,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P2,Copy consistency,/account/overview,Uncertain UI language,"Your account settings let you control everything personal to your login — your display name, language, avatar, and email address — as well as account-level details that apply across your entire Oviond workspace. You can  | Your profile controls how you appear inside Oviond and, where applicable, in client-facing communications sent from your account. | Click **Save**. Oviond may send a verification email to your new address to confirm the change.",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/account/overview,Old billing plan framing,"The usage panel displays the following metrics alongside your plan's limits: | If you're approaching a limit, you can upgrade your plan from **Billing** in the sidebar. See [Plans and billing](/billing/plans) for details on what each plan includes.",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/account/usage,Old billing plan framing,> See what your agency has used against your plan's limits.,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P2,Copy consistency,/api/openapi.json,TODO/TBD placeholder,"""description"": ""Optional starting avatar URL; defaults to a placeholder the user can replace.""",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/openapi.json,Supabase/internal implementation leak,"""resend"": { | ""sqs"", | ""example"": ""sqs""",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/billing/plans,Old billing plan framing,"If you need more clients or seats than any listed plan offers, contact Oviond support to ask about enterprise options.",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/billing/subscription,Supabase/internal implementation leak,"Oviond uses Stripe to handle all subscription billing. You can manage your plan, payment method, and invoices directly from your account settings or through the Stripe customer portal. | Go to **Settings → Billing** and click **Manage Billing**. This opens the Stripe customer portal in a new tab, where you can:",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/changelog/2026-04,Supabase/internal implementation leak,"* `GET /v1/white-label/domains/:id/status` — check DNS verification via Vercel | ### Uploads, folders, and S3-backed storage | Upload images and assets, organize them into folders, and reference them directly from widgets. Deletes are soft — files stay in S3 for recovery.",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P2,Copy consistency,/clients/folders,Uncertain UI language,"Folders are purely organizational — they don't affect permissions, billing, or reports. A single client can be assigned to multiple folders if needed.",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/custom-domains/delete,Supabase/internal implementation leak,Deleting a domain stops it from serving reports and removes it from Vercel on Oviond's side. Shared links that used the custom domain will fall back to `app.oviond.com`.,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P2,Copy consistency,/custom-domains/list,Uncertain UI language,"<Step title=""Wait if needed"">",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/custom-domains/verify,Supabase/internal implementation leak,Oviond re-queries DNS and Vercel (the SSL provider) and updates the status immediately. | * **Cloudflare / Vercel DNS** — under 1 minute,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P2,Copy consistency,/data-sources/profiles,Uncertain UI language,"<Step title=""Rename if needed"">",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/email-settings/smtp,Supabase/internal implementation leak,"By default Oviond sends automation emails via our managed provider (Resend). If your agency needs every email to pass through its own SMTP server — for audit, deliverability isolation, or IP warming — configure SMTP unde",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/media/bulk-delete,Supabase/internal implementation leak,Deleted media items are **soft-deleted** — the S3 file stays in place and the row is retained until the retention window expires. Widgets that reference a deleted item will show a broken image until the item is restored ,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P2,Copy consistency,/media/delete,TODO/TBD placeholder,Widgets that referenced the deleted item show a broken-image placeholder with a **Missing Media** badge. Options:,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/media/delete,Supabase/internal implementation leak,"Deleting a single media item removes it from the active library and moves it to the [Archive](/archive/view). The underlying S3 file is retained for the restore window — nothing is permanently destroyed at this step. | Archived media items older than the retention window (90 days by default) are **permanently purged**, including the S3 file. Restore before then if you want to keep it.",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/media/update,Supabase/internal implementation leak,Renaming a media item updates its display name only. The underlying S3 file keeps the same URL — widgets referencing the item don't need to be re-wired. | * The file's URL (the S3 key is immutable).,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/media/upload,Supabase/internal implementation leak,"The **Media library** is where every image, logo, icon, and file referenced from widgets, reports, and share pages lives. Uploads go straight to S3-backed storage — Oviond generates a pre-signed URL, the file uploads dir",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/onboarding/overview,Supabase/internal implementation leak,"*""What is your company's website?""* — your agency's URL. If you don't include `http://` or `https://`, Oviond adds `https://` automatically. Shown on the accounts row and used for the default screenshot on your own compa",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P2,Copy consistency,/projects/duplicate,Uncertain UI language,"Open the copy's settings to give it a new name and, if needed, assign it to a different client.",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/themes/list,Old billing plan framing,| **Oviond Library** | Neutral starter themes maintained by Oviond. |,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/users/list,Supabase/internal implementation leak,"Click **Send invitation**. The invitee receives an email with a link to accept the invitation and set up their login. The invitation link expires after a set period — if they don't accept in time, you can resend it from  | ## Resend an invitation | If a pending team member hasn't accepted their invitation, you can resend it.",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/account/delete-account,Supabase/internal implementation leak,"> Irreversible. Cancels the active Stripe subscription, deletes all data across every table for this account, removes all team members from the users table, purges all S3 media files, and deletes all Supabase Auth users. | users table, purges all S3 media files, and deletes all Supabase Auth",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/account/get-account,Supabase/internal implementation leak,> Get the accounts row for the current account | description: Get the accounts row for the current account,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/automations/bulk-delete-automations,Supabase/internal implementation leak,> Soft-delete multiple automations and remove them from the cron scheduler | description: Soft-delete multiple automations and remove them from the cron scheduler,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/automations/delete-automation,Supabase/internal implementation leak,> Soft-delete an automation and remove it from the cron scheduler | description: Soft-delete an automation and remove it from the cron scheduler,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/email/add-email-domain,Supabase/internal implementation leak,> Add and register a sending domain with Resend | description: Add and register a sending domain with Resend,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/email/delete-email-domain,Supabase/internal implementation leak,> Remove a sending domain from Resend and the account config | description: Remove a sending domain from Resend and the account config,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/email/get-email-setup,Supabase/internal implementation leak,resend:,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/email/queue-emails,Supabase/internal implementation leak,"> Enqueue a batch of emails to SQS for async delivery, falling back to direct Resend when SQS is not configured | Enqueue a batch of emails to SQS for async delivery, falling back to | direct Resend when SQS is not configured",Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/email/send-email,Supabase/internal implementation leak,> Send a transactional email via Resend | description: Send a transactional email via Resend,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/email/verify-email-domain,Supabase/internal implementation leak,> Trigger domain DNS verification check with Resend | description: Trigger domain DNS verification check with Resend,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/health/health-check,Supabase/internal implementation leak,supabase: | - supabase,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/media/delete-media,Supabase/internal implementation leak,> Soft-delete a media item. The underlying file is retained in S3 for potential restore. | Soft-delete a media item. The underlying file is retained in S3 for,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/pdf/generate-pdf,Supabase/internal implementation leak,description: S3 not configured,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/pdf/get-pdf-status,Supabase/internal implementation leak,example: https://s3.amazonaws.com/bucket/pdf/report.pdf,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P2,Copy consistency,/api/users/invite-user,TODO/TBD placeholder,Optional starting avatar URL; defaults to a placeholder the user can,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/white-label/add-domain,Supabase/internal implementation leak,> Add a custom domain. Detects the DNS provider and registers the domain on Vercel. | on Vercel.,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P1,Copy consistency,/api/white-label/check-domain-status,Supabase/internal implementation leak,> Check domain verification status via Vercel. | description: Check domain verification status via Vercel.,Rewrite for customer-facing clarity; remove internal implementation details and uncertain wording.
P2,API completeness,/api/openapi.json,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=13166","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/account/delete-account,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=65","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P1,API completeness,/api/account/get-account,API endpoint doc is missing standard reference elements.,"Missing: method, path, request; words=30","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P1,API completeness,/api/account/get-account-usage,API endpoint doc is missing standard reference elements.,"Missing: method, path, request; words=30","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/activity/list-activity,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=29","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/archive/delete-permanently,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=26","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P1,API completeness,/api/archive/get-archive-counts,API endpoint doc is missing standard reference elements.,"Missing: method, path, request; words=28","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/archive/list-archive,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=26","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/archive/restore-items,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=25","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/assets/create-asset,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=25","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/assets/delete-asset,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=25","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/assets/duplicate-asset,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=28","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/assets/get-asset,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=27","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P1,API completeness,/api/assets/list-asset-tags,API endpoint doc is missing standard reference elements.,"Missing: method, path, request; words=33","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/assets/list-asset-widgets,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=31","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/assets/list-assets,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=28","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/assets/update-asset,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=25","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/automations/bulk-delete-automations,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=33","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/automations/create-automation,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=27","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/automations/delete-automation,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=32","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/automations/get-automation-history,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=29","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/automations/list-automations,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=31","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/automations/pause-automation,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=33","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/automations/test-automation,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=28","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/automations/unpause-automation,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=29","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/automations/update-automation,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=28","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P1,API completeness,/api/billing/list-invoices,API endpoint doc is missing standard reference elements.,"Missing: method, path, request; words=27","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P1,API completeness,/api/billing/list-plans,API endpoint doc is missing standard reference elements.,"Missing: method, path, request; words=28","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P1,API completeness,/api/branding/get-branding,API endpoint doc is missing standard reference elements.,"Missing: method, path, request; words=25","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/branding/update-branding,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=25","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/calculated-metrics/create-calculated-metric,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=27","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/calculated-metrics/delete-calculated-metric,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=26","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/calculated-metrics/duplicate-calculated-metric,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=26","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P1,API completeness,/api/calculated-metrics/list-calculated-metrics,API endpoint doc is missing standard reference elements.,"Missing: method, path, request; words=31","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/calculated-metrics/update-calculated-metric,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=26","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
P2,API completeness,/api/clients/bulk-delete-clients,API endpoint doc is missing standard reference elements.,"Missing: method, path; words=28","Use a consistent endpoint template: method/path, auth, params, body schema, response schema, errors, curl/JS example."
